collection_host,collection_key,category,data_element,source,instance_number,inst_id,value
racn01, APP40498, id, collector_version, v1601,                    0,                    0, 2016-01-05
racn01, APP40498, id, collection_date, sysdate,                    0,                    0, 2019-04-10/12:03:57
racn01, APP40498, id, awr_retention_days, dba_hist_snapshot,                    0,                    0,                                                                                8
racn01, APP40498, id, awr_retention_days, dba_hist_snapshot,                    1,                    0,                                                                                8
racn01, APP40498, id, awr_retention_days, dba_hist_snapshot,                    2,                    0,                                                                                8
racn01, APP40498, id, awr_retention_days, dba_hist_snapshot,                    3,                    0,                                                                                8
racn01, APP40498, id, collection_days, dba_hist_wr_control,                    0,                    0, 8
racn01, APP40498, id, user, user,                    0,                    0, SYS
racn01, APP40498, id, host, sys_context,                    0,                    0, racn01
racn01, APP40498, id, server_host, sys_context,                    0,                    0, racn01
racn01, APP40498, id, dbid, v$database,                    0,                    0, 49234489
racn01, APP40498, id, db_name, sys_context,                    0,                    0, APP
racn01, APP40498, id, db_unique_name, sys_context,                    0,                    0, APP
racn01, APP40498, id, platform_name, v$database,                    0,                    0, Linux x86 64-bit
racn01, APP40498, id, host_name, gv$instance,                    1,                    1, racn01
racn01, APP40498, id, host_name, gv$instance,                    2,                    2, racn02
racn01, APP40498, id, host_name, gv$instance,                    3,                    3, racn03
racn01, APP40498, id, version, gv$instance,                    1,                    1, 12.1.0.2.0
racn01, APP40498, id, version, gv$instance,                    2,                    2, 12.1.0.2.0
racn01, APP40498, id, version, gv$instance,                    3,                    3, 12.1.0.2.0
racn01, APP40498, id, instance_name, gv$instance,                    1,                    1, APP1
racn01, APP40498, id, instance_name, gv$instance,                    2,                    2, APP2
racn01, APP40498, id, instance_name, gv$instance,                    3,                    3, APP3
racn01, APP40498, cpu, aas_on_cpu_and_resmgr_peak   , dba_hist_active_sess_history,                    1,                    0,                          5
racn01, APP40498, cpu, aas_on_cpu_and_resmgr_peak   , dba_hist_active_sess_history,                    2,                    0,                          3
racn01, APP40498, cpu, aas_on_cpu_and_resmgr_peak   , dba_hist_active_sess_history,                    3,                    0,                          3
racn01, APP40498, cpu, aas_on_cpu_peak              , dba_hist_active_sess_history,                    1,                    0,                          5
racn01, APP40498, cpu, aas_on_cpu_peak              , dba_hist_active_sess_history,                    2,                    0,                          3
racn01, APP40498, cpu, aas_on_cpu_peak              , dba_hist_active_sess_history,                    3,                    0,                          3
racn01, APP40498, cpu, aas_resmgr_cpu_quantum_peak  , dba_hist_active_sess_history,                    1,                    0,                          0
racn01, APP40498, cpu, aas_resmgr_cpu_quantum_peak  , dba_hist_active_sess_history,                    2,                    0,                          0
racn01, APP40498, cpu, aas_resmgr_cpu_quantum_peak  , dba_hist_active_sess_history,                    3,                    0,                          0
racn01, APP40498, cpu, aas_on_cpu_and_resmgr_peak   , dba_hist_active_sess_history,                   -1,                   -1,                         11
racn01, APP40498, cpu, aas_on_cpu_peak              , dba_hist_active_sess_history,                   -1,                   -1,                         11
racn01, APP40498, cpu, aas_resmgr_cpu_quantum_peak  , dba_hist_active_sess_history,                   -1,                   -1,                          0
racn01, APP40498, cpu, aas_on_cpu_and_resmgr_9999   , dba_hist_active_sess_history,                    1,                    0,                          5
racn01, APP40498, cpu, aas_on_cpu_and_resmgr_9999   , dba_hist_active_sess_history,                    2,                    0,                          3
racn01, APP40498, cpu, aas_on_cpu_and_resmgr_9999   , dba_hist_active_sess_history,                    3,                    0,                          3
racn01, APP40498, cpu, aas_on_cpu_9999              , dba_hist_active_sess_history,                    1,                    0,                          5
